,bak,en
111,"Бал ҡорто – ғәжәп аҡыллы, бик егәрле бөжәк.",The honey bee is an amazingly intelligent [and] very hard-working insect.
112,Ватанды һаҡлау - һәр егеттең изге бурысы.,To defend the homeland is the sacred duty of every young man.
113,"Егеттәр, һаҡланығыҙ наҙан дуҫтан ― наҙан дуҫ бер айҙаң һуң булыр дошман.","Guys, beware of a ignorant friend ― in a months time, an ignorant friend will become an enemy.|q=Aqmulla"
114,Ел тирмәне.,Windmill.
115,Ел ҡайһы яҡтан өрә?,From which direction is the wind blowing?
116,"Мин сапҡанда ел ҡубыр,// Таш та ятып түҙәлмәҫ, // Һыу тулҡыныр-ҡайнашыр, // Һыуҙа балыҡ йөҙәлмәҫ.","When I gallop, the wind will rise, a stone wont rest unmoved, the water will run high and boil, the fish wont be able to swim in the water."
117,"Заман башҡа, заң башҡа.","Different time, different laws. (=Laws change as time goes)."
118,Ул заманда самолёт хаҡы осһоҙ булды.,"At that time, the airfares were cheap."
119,Мәжит Ғафури «Януарҙарға килгән үләт» исемле мәҫәлендә Лафонтен заманынан билдәле сюжетҡа мөрәжәғәт итә.,"[[:w:Majit Gafuri|Majit Gafuri]] in his fable titled ""The pestilence has come to animals"" turns to a plot known from the time of (Jean de) La Fontaine."
120,Ҡатын-ҡыҙҙар өсөн машина йөрөтә белеү — заман талабы.,For women to be able to drive a car is the modern time’s necessity (=part of modern life).
121,Үткән заман.,Past tense.
122,Хәҙерге заман.,Present tense.
123,Ҡылымдарҙы киләсәк заманға ҡуйығыҙ.,Put the verbs in the future tense.
124,Тар тимер юлы.,Narrow-gauge railway/ railroad.
125,Тар бүлмә.,A small room
126,Донъя тар икән.,"Its a small world, as it happens"
127,Ваҡытым тар.,I am short of time
128,Өс бүлмәле фатир.,A 3-room apartment.|inline=1
129,Фәлсәфә фәндәре докторы.,Doctor of Philosophy.
130,"Суфыйсылыҡ мосолман донъяһының рухиәтенә, ғилеменә, фәлсәфәһенә үә әҙәбиәтенә киң йоғонто яһаған.","Sufism has asserted a wide influence on the spirituality, science, philosophy and literature of the Muslim world."
131,Бындай һорауҙарҙы тикшереү өсөн фәлсәфәлә ҡулланылған төп алым булып логик фекерләү һәм һығымта сығарыу тора.,The main methods employed in philosophy to examine such questions are logic reasoning and deduction.
132,[[үлем|Үлем]] фәрештәһе.,The angel of death.
133,Ислам динендә кешенең йәнен [[Ғазраил]] фәрештә [[ала]].,"In the religion of Islam, the angel Azrael takes a persons soul (when that person dies)."
134,Нәҡ ошо [[төндә]] Ҡөръән Кәримдең тәүге аяттары Ябраил фәрештә [[аша]] [[Мөхәммәт]] пәйғәмбәргә [[с.ғ.с.]] тапшырыла башлай.,It is on this very night that the first ayats of the Holy Quran begin to be communicated to prophet Muhammad ([[peace be upon him]]) via the angel Gabriel.
135,Бомба филтәһен берәй мәл тоҡандырғанығыҙ булдымы?,Have you ever lighted a bomb fuse?
136,Аныҡ фәндәр.,Exact sciences.
137,[[тәбиғәт|Тәбиғәт]] фәндәре.,Natural sciences.
138,[[тарих|Тарих]] фәндәре докторы.,Doctor of Historical Sciences.
139,Күҙәнәктәрҙең төҙөлөшөн һәм йәшәүен цитология тигән фән өйрәнә.,The structure and life activities of cells are studied by the science called cytology.
140,Берҙәм дәүләт имтиханы ниндәй фәндәрҙән үткәрелә?,On what subjects is the [[:w:Unified State Exam|Unified State Exam]] administered?
141,Тура һыҙыҡ.,A straight line.
142,Тура поезд.,Direct train.
143,Тура бәйләнеш.,Direct communication line.
144,Тура мөйөш.,Right angle.
145,Мәңгелек двигатель.,Perpetual motion machine.
146,Эске яныулы двигатель.,Internal combustion engine.
147,Яңы автобустар газ двигателендә эшләй.,The new buses work on natural gas engines.
148,Беҙ совет осоронда был хәл тик Көнбайыш өсөн генә хас тип уйлай торғайныҡ.,"In the Soviet times, we used to think that this phenomenon was characteristic only of the West."
149,Бындай форсат ғүмерҙә бер тапҡыр ғына сыға.,Such an opportunity arises only one time in a lifetime.
150,Мин шунда уҡ бер һөйләмдән генә торған ғариза яҙҙым да уға һондом.,"I immediately wrote an official notice which consisted of just one sentence, and handed it to him."
151,"Бер йәшниктә – 16, икенсеһендә 14 кг кәнфит бар. Өсөнсө йәшниктә беренсе һәм икенсе йәшниктә күпме булһа, шунса кәнфит.","There are 16 kg of candies in one box (and) 14 kg in the second. In the third box, there are as many candies as there are in the first and in the second box. "
152,Курил утрауҙары — Рәсәйҙең айырылғыһыҙ бер өлөшө.,The Kuril islands are an inalienable part of Russia.
153,Алдында сәсен ерәнгә буяған бер ҡыҙ баҫып тора.,"In front of him, there stands a girl who has dyed her hair red."
154,"Бер ауылда бер ярлы ғына әбей йәшәгән, аның Йәнтимер исемле 12 йәшле улы булған ти.","A rather poor old woman lived in a village, she had a 12-year old son called Yäntimer."
155,"Был – кимәктәргә яҡын төрк ҡәбиләһе, хатта кимәктәрҙең бер тармағы итеп күрһәтелә.","This is a Turkic tribe close to [[:w:Kimek tribe|Kimaks]], (it is) even indicated as a branch of Kimaks."
156,Ике үркәсле дөйә.,Two-humped camel.
158,"Ҡунаҡтар, һанашмаҡ әйтеп, ике төркөмгә бүленә; уртала һыҙыҡ һыҙыла.",The guests say a counting-out rhyme and divide into two groups; a line is drawn in the middle.
159,"Йылъяҙма һөйләүенсә, 1124-се йылда Киев ике көн яна, 600 сиркәү юҡҡа сыға.","As a chronical narrates, in the year of 1124 Kiev was on fire for two days, 600 churches were destroyed."
160,"Алтын тәхет өҫтөндә батша ҡыҙы ултырған, дүрт яғынан дүрт ҡоло тәхетене күтәргән.","On top of a golden throne, padishahs daughter sat; four slaves from four sides raised her throne."
161,Тора-бара гәзит тулы төҫтә баҫылған дүрт битле аҙналыҡҡа әүерелде.,"Over time, the newspaper grew into a four-page weekly published in full color."
162,Биш минут ҡына ваҡытым бар.,I have only five minutes of time.
163,"Табаҡҡа биш йомортҡа һытығыҙ, ондо ҡушып болғағыҙ.","Crack five eggs into the bowl, add flour and stir."
164,Мин ата-бабаларымдың ун быуынға ҡәҙәр кемдәр булыуын асыҡланым.,I have found out up to ten generations of who my ancestors were.
165,Башҡортостанда 9 мең әрмән йәшәй.,9 thousand Armenians live in Bashkortostan.
166,Мөхәммәт өммәтенең бер рәҡәғәт намаҙҙарының сауабы башҡа өммәттәрҙең мең рәҡәғәт сауабына тиңләшер.,The merit of (performing) one sequence of prayer by a follower of Muhammad (i.e. by a Muslim) is equal to the merit of (performing) a thousand of sequences of (=by) other followers (=the followers of of other religious traditions).
167,Арпа алтмыш көндә өлгөрә.,Barley matures in sixty days.
169,"Дәрестәребеҙ дүшәмбе һайын, иртәнге унда буласаҡ.",Our classes will take place each Monday at 10 am.
170,Аштың тоҙо сыҡмаған.,The soup is undersalted.
171,Бик ҙур ҡала.,A very large city.
172,Эңерҙә һәм төндә туҡланыусы бик һаҡ ҡош.,A very cautious bird that feeds at dusk and at night.
173,Ауылда бик оҫта [[гармунсы]] була торғайны.,There used to be a very skillful [[garmon]] player in the village.
174,"Сүллектәге һауа дымлылығы бик түбән булғанға, ул ҡояш радияцияһынан һаҡламай.","As air humidity is very low in the desert, it does not protect from solar radiation."
175,"Ҡала шарттарында таныш булмаған кеше менән һаулыҡ һорашыу ғәҙәте юҡ, шуға ла үзбәктәрҙең был ҡылығы минең өсөн бик сәйер тойолдо.","In an urban setting, there is no custom of greeting unfamiliar people, that is why such a habit of Uzbeks appeared very strange to me."
176,Уйынсыҡ машина.,A toy car.
177,Иҫерек килеш машина йөрөтөү.,Driving a car while intoxicated.
178,Ҡалаға барып етмәҫ борон машинабыҙ ватылды.,Our car broke down before we reached the town.
179,"Биш-алты ғына йәшлек малай-ҡыҙҙар, машиналар араһында йөрөп, хәйер һорай.",Boys (and) girls of just five (or) six years old are asking for alms while they walk around cars.
180,"Картағыҙ юғалһа, банкка шылтыратығыҙ һәм уны блокка ҡуйыуҙарын һорағыҙ.","If your (bank) card gets lost, call the bank and ask to block it."
181,Тол ҡатын.,lit. a widow woman.
182,Утыҙ йәшендә ике бала менән тол ҡалған.,(She) became widow at thirty with two children.
183,Мәсьәләләрҙең яуаптарын айырым биттә яҙып тапшырығыҙ.,Write the problems solutions on a separate sheet (of paper) and submit it.
184,Һин бит минең бер генәм!,You are indeed my only one.
185,Күп һөйләүҙән файҙа юҡ бит.,"Indeed, there is no good of talking much."
189,"Айрат үҙе кеүек тиҫтерҙәре менән урам ҡыҙырҙы, һыра һемерҙе, тәмәке тартты.","Ayrat, with his age-mates like himself, wandered around streets, swilled beer, smoked tobacco."
190,Мул иген уңышы быйыл проблемаға әүерелде – хаҡтар кинәт төшә башланы.,The rich cereal crops this year turned into a problem  – the prices started to decrease dramatically.
191,Башҡортостан Республикаһы мәҙәниәт министры итеп билдәле йырсы Асҡар Абдразаҡов тәғәйенләнде.,The renowned singer Askar Abdrazakov is appointed Minister of culture of the Republic of Bashkortostan.
192,"Бураны күтәреп, башын япҡас, бүрәнә ярыҡтарына мүк тултыралар.","After the carcass of log house is completed (up to its intended height) and roofed, the slits between logs are filled with moss."
193,Ял көнө.,A day off.
194,Төшкө ял.,Lunch break.
195,"Беренсенән, Өфө алыҫ түгел, икенсенән, һеҙҙә тәбиғәт матур, ул ял индустрияһын үҫтереү өсөн мөмкинлек бирә.","Firstly, Ufa is not far, secondly, the nature is beautiful at your place, it creates an opportunity to develop the recreation industry."
196,"Шым ғына ултыр, өнөң дә сыҡмаһын!","Sit quiet, so not a single sound of yours can be heard!"
197,Ит менән картуфты бергә бөтөнләй ашамағыҙ.,Do not eat together meat and potato at all.
198,Һауыттағы бер серек алма бөтәһен дә серетә.,One rotten apple in the box will make all (apples) rot as well.
199,Баш мөхәррир.,The editor-in-chief.
200,Биш баш йылҡы.,Five horses.
201,Нисә баш һыйыр аҫрайһығыҙ?,How many cows do you keep?
202,Ике баш  [[һуған]].,Two heads of onion.
203,Өс баш  [[ҡорот]].,Three balls of [[:w:qurut|qurut]].
204,"Һиҙәм: бына, маңлайымдан һыйпай йәп-йәш әжәлемдең һалҡын усы.","I feel: here, the cool palm of my very young death strokes along my forehead.|q=[[:w:Mustai Karim|Mustai Karim]]"
205,Был көй ғәҙәттә ирҙәр бейегәндә уйнала.,This tune is usually played when men dance.
206,"Күлде ҡамыш матурлай, ирҙе намыҫ матурлай.","Cattail makes a lake nice, sense of dignity makes a man handsome."
207,"Ҡатын бер ҡайҙа ла эшләмәй, ире елкәһендә йәшәй.",The woman does not work anywhere (and) lives off her husband.
208,Яңы хөкүмәткә ябай ауыл ҡатындарынан наказ – ирҙәребеҙҙе Себерҙән ҡайтарығыҙ!,A mandate for the new government from ordinary rural women: bring our husbands home from Siberia! (i.e. create jobs at home.)
209,"Эстән янып-көйөүгә ҡарамаҫтан, кисерештәренең тамсыһын да иренә күрһәтергә ашыҡманы.","Although ablaze within, (she) did not hurry to show a droplet of her feelings to her husband."
210,Дингеҙ һыуы.,Seawater.
211,Һыу тирмәне.,Watermill.
212,Һыу боҙға әйләнде.,Water turned into ice.
213,Үткән ғүмер - аҡҡан һыу.,Past life is (like) water that has flowed.
214,Өйөбөҙгә һыуыҡ һыу ғына ингән.,We only have cold water (service) in our house.
215,Дарыуханала дингеҙ һыуы нигеҙендә эшләнгән спрей һатып алығыҙ һәм көнөнә бер нисә тапҡыр танауҙы сайҡағыҙ.,"Buy a spray based on seawater in a drugstore, and rinse (your) nose several times a day."
216,"Был һыуҙы эскән һәр кем йәнә һыуһар, ә Мин биргән һыуҙы эскән кеше бер ҡасан да һыуһамаҫ.","Everyone who drinks this water will again get thirsty, but the person who drinks the water I give will never get thirsty.|q=John 4:13-14."
217,Һыу буйы.,"waterside, coast, shore."
218,Өйөбөҙгә һыуыҡ һыу ғына ингән.,We only have cold water (service) in our house.
219,Һыу боҙға әйләнде.,Water turned into ice.
220," Киске сәғәт 6-ларҙа Красноусол ауылы буйлап көслө ел-дауыл, ҡойон үтте, баш бармаҡ ҙурлыҡ боҙ яуҙы.","Around 6 p.m., in the village of [[:w:Krasnousolsky (rural locality)|Krasnousolsky]] there was a strong wind, whirlwind, and thumb-sized hail fell."
221,Ҡояш байый.,The sun sets.
222,Ҡояштың тәүге нурҙары менән баҫыуға сығып китәбеҙ.,"With the first rays of the sun, we set out for the field."
223,...шәрә күктә ҡояш — ут йомғағы.,"...in the naked sky, (there is) the sun, a ball of fire.|q=[[:w:Mustai Karim|Mustai Karim]]"
224,"Сүллектәге һауа дымлылығы бик түбән булғанға, ул ҡояш радияцияһынан һаҡламай.","As air humidity is very low in deserts, it does not protect from solar radiation."
226,Иртә яҙҙан ҡара көҙгә тиклем.,From early spring till late autumn.
227,Яҙ һуң килде.,The spring came late.
228,Бал тәме — йәйҙең йәме.,The taste of honey is the summers cream.
230,Иртә яҙҙан ҡара көҙгә тиклем.,From early spring till late autumn.
231,"Яҙ йәме сәскә менән, көҙ йәме көлтә менән.","The springs beauty (is) in flowers, the falls beauty is in (crop) sheaves."
232,"Хәйер, Уралда мартты ла тулыһынса ҡыш айы тип әйтергә мөмкин әле.","However, March in the Urals can as well be called a winter month without reservation."
233,"Байрам һуңында һаламдан, сепрәк-сапраҡтан эшләнгән ҡарасҡыны яндырып, ҡышты оҙаттылар.","At the end of the fête, (they) burned the straw man made from straw and rags, and (thus) bade farewell to winter."
234,Ҡыҫыҡ күҙ.,Narrow eyes.
235,Өфө күҙ ауырыуҙары институты.,The Ufa institute of ocular diseases.
236,Бәләкәс баланы яман күҙҙән һаҡлып өс йәшкәсә кешегә күрһәтмәгәндәр.,"(They) wouldnt show small children to strangers until they were three, so as to guard them from the evil eye."
237,Сәсәндең исеме таҡтаташҡа уйылды.,The folk poets name has been carved on a plaque.
238,Исем-фамилияғыҙҙы дәфтәрҙең тышына баҫма хәрефтәр менән яҙып ҡуйығыҙ.,Write your given and family name on the cover of the work book in block letters.
239,"Өләсәйем шофёрҙың исемен дә, ҡайһы ауылдан икәнен дә онотҡан.",My grandma forgot both the drivers name and from which village he was.
240,Исемгә тура килә есем.,The contents suits the name.
241,Урал православтары араһында киң танылған Табын тәреһе үҙ исемен хәҙерге Ғафури районындағы Табын ауылынан алған.,"The Tabym icon (of Madonna), widely popular among the Orthodox (people) of the Urals, acquired its name from the village of Tabyn in present-day Gafuri district (in Bashkortostan)."
242,Яңғыҙлыҡ исем.,Proper noun.
243,Уртаҡ исем.,Common noun.
244,Йыл аҙағы.,End of year.
245,Тәбиғи мөхиттә ҡағыҙ 10 йылда серей.,"In the natural environment, paper decays in 10 years."
246,"Хәҙер инде күп йылдар үткәс, ул ваҡыттарҙағы хәлдәрҙең күбеһе хәтерҙән юйыла бара.","Now that many years have passed, many events of those times get erased from the memory."
247,"Йылъяҙма һөйләүенсә, 1124-се йылда Киев ике көн яна, 600 сиркәү юҡҡа сыға.","As a chronical narrates, in the year of 1124 Kiev was on fire for two days, 600 churches were destroyed."
248,Каспий дингеҙе.,The Caspian Sea.
249,Дингеҙ һыуы нигеҙендә эшләнгән спрей.,A spray made on the basis of seawater.
250,Архипелагтар дингеҙҙә айырым йәки ҙур ҡоро ер массивы янында урынлаша ала.,Archipelagoes can be located separately in the sea or close to a large mass of dry land.
252,Нәшриәт ғәйебе менән киткән етешһеҙлектәр өсөн редакция яуап бирмәй.,The editorial board does not accept responsibility for the defects arising through the publishers fault.
253,Буй дәфтәр.,Lined notebook.
254,Һарымһаҡ төнәтмәһе склероздан һәм баш шаулауҙан яҡшы сара булып һанала.,Garlic infusion is considered to be a good remedy for senile memory loss and tinnitus.
257,Ағас һыуға батмай.,Wood does not sink in water.
259,Тамыры ныҡ ағас бирешмәҫ.,A tree with strong root will withstand.
260,Алтын бөртөгө.,A grain of gold.
264,Борон Урал арты башҡорттары илендә бик көслө батыр йәшәгән.,"Formerly, a very strong man used to live in the lands of Trans-Uralian Bashkirs."
265,Ҡалаға барып етмәҫ борон машинабыҙ ватылды.,Our car broke down before we reached the town.
267,Х быуаттан башҡорттар мөхитенә Ислам дине үтеп инә башлай.,"Starting with the 10th century, the religion of Islam begins to penetrate into the Bashkir community."
268,Ислам динендә кешенең йәнен Ғазраил фәрештә ала.,"In the religion of Islam, the angel Azrael takes a persons soul (when that person dies)."
269,Һуғым мал.,Cattle for slaughter.
270,Тамғалы мал юғалмай.,Branded cattle wont get lost.
271,Былтыр йәй тимер юлында күп мал тапалған икән.,"(It appears that) Last years summer, a lot of cattle got knocked down (to death or serious injury) at the railway."
272,"Тап шундай берәҙәк эттәр ваҡ мал һәм ҡош-ҡорт өсөн генә түгел, кеше өсөн дә хәүефле.","It is stray dogs of this kind that are dangerous not only to small cattle and poultry, but also to humans."
273,Әрмәнстандағы Севан күле.,The lake Sevan in Armenia.
